id_treatment,id_inoc,id_faeces,starting_date,plate_empty_weight,weight_0dpi,weight_14dpi,foil_weight,sample_weight_14dpi,sample_dry weight,ph_14dpi,bacteria_weight,dilution_ecoli,ecoli_counted,dilution_enterococcus,enterococcus_counted,dilution_pc,pc_counted
1,1,1,11-18-2025,14.30,29.83,29.45,0.32,5.34,2.64,5.18,0.96,20,0,20,0,20,0
2,1,1,11-18-2025,14.30,30.11,29.78,0.35,5.36,2.60,5.27,1.01,20,0,20,0,20,2
3,1,1,11-18-2025,14.30,29.73,28.91,0.36,5.31,2.64,8.53,1.09,20,0,5000,39,5000000,34
4,2,1,11-18-2025,14.30,30.12,29.69,0.35,5.36,2.61,6.18,1.09,5000,37,5000,278,5000000,38
5,2,1,11-18-2025,14.30,30.07,29.29,0.33,5.34,2.54,8.61,0.97,50000000,124,500000,242,500000000,52
6,2,1,11-18-2025,14.29,29.67,29.09,0.35,5.40,2.50,8.72,1.02,50000000,132,500000,302,500000000,35
7,3,1,11-18-2025,14.29,29.95,29.52,0.37,5.39,2.66,5.36,0.94,20,0,20,0,20,0
8,3,1,11-18-2025,14.29,29.97,29.58,0.34,5.38,2.61,6.72,1.06,20,0,20,0,20,0
9,3,1,11-18-2025,14.28,29.61,29.20,0.34,5.29,2.61,8.15,1.12,500000,222,500,10,5000000,234
10,4,1,11-18-2025,14.31,29.99,29.09,0.36,5.34,2.62,5.91,1.11,20,0,20,0,20,1
11,4,1,11-18-2025,14.29,30.17,29.78,0.36,5.41,2.62,5.93,1.05,20,0,20,0,20,0
12,4,1,11-18-2025,14.29,30.13,29.77,0.37,5.30,2.51,5.96,1.12,20,0,20,0,20,0
13,5,1,11-18-2025,14.30,29.88,28.57,0.33,5.43,2.61,8.93,0.96,50000000,67,500000,138,50000000,74
14,5,1,11-18-2025,14.29,30.30,29.60,0.32,5.36,2.54,8.97,1.15,50000000,149,500000,159,500000000,15
15,5,1,11-18-2025,14.30,30.18,29.57,0.42,5.50,2.56,9.03,1.04,50000000,78,500000,248,50000000,170
16,6,1,11-18-2025,14.30,30.07,29.15,0.34,5.35,2.57,8.67,1.12,50000000,105,500000,253,500000000,90
17,6,1,11-18-2025,14.29,30.08,29.42,0.35,5.36,2.60,8.87,0.98,50000000,222,500000,293,50000000,244
18,6,1,11-18-2025,14.30,29.96,29.33,0.31,5.51,2.52,8.84,1.1,50000000,220,500000,215,500000000,54
19,7,1,11-18-2025,14.29,30.17,28.77,0.29,5.39,2.43,8.70,1.11,50000000,68,5000,285,50000000,84
20,7,1,11-18-2025,14.30,29.92,28.73,0.32,5.35,2.43,8.33,1.03,50000000,12,50000,234,50000000,37
21,7,1,11-18-2025,14.40,30.09,29.07,0.33,5.43,2.54,8.57,1.08,50000000,107,50000,254,50000000,233
22,8,2,11-19-2025,14.29,30.13,29.26,0.39,5.46,2.50,8.94,0.93,50000000,183,500000,235,50000000,287
23,8,2,11-19-2025,14.28,30.17,29.69,0.35,5.40,2.56,5.18,1.09,2,0,2,0,2,0
24,8,2,11-19-2025,14.27,30.25,29.50,0.34,5.51,2.53,8.97,1.04,50000000,72,500000,224,50000000,76
25,9,2,11-19-2025,14.28,30.10,29.64,0.35,5.39,2.56,6.41,1.08,5000000,15,50000,56,500000,189
26,9,2,11-19-2025,14.28,29.80,29.46,0.43,5.34,2.51,5.78,1.02,5000000,27,500000,76,50000000,28
27,9,2,11-19-2025,14.27,30.02,29.64,0.41,5.46,2.56,6.67,1.1,5000000,24,500000,79,50000000,76
28,10,2,11-19-2025,14.28,29.84,29.09,0.33,5.34,2.36,8.87,0.99,50000000,233,500000,265,50000000,94
29,10,2,11-19-2025,14.28,29.72,29.45,0.30,5.31,2.43,5.53,1.05,500000,81,500000,162,5000000,112
30,10,2,11-19-2025,14.27,29.75,29.47,0.39,5.43,2.51,5.31,1.12,50000,320,500000,173,5000000,44
31,11,2,11-19-2025,14.28,29.83,29.07,0.29,5.27,2.45,8.75,0.92,50000000,225,500000,274,50000000,289
32,11,2,11-19-2025,14.27,29.98,29.50,0.31,5.32,2.41,5.89,1.03,2,0,2,0,2,0
33,11,2,11-19-2025,14.30,29.98,29.51,0.30,5.32,2.42,5.94,1.01,2,0,2,0,2,0
34,12,2,11-19-2025,14.28,29.85,29.00,0.27,5.40,2.43,8.96,1.04,500000000,245,500000,34,5000000000,78
35,12,2,11-19-2025,14.27,29.80,29.12,0.24,5.24,2.25,8.93,1.11,50000000,156,500000,245,500000000,15
36,12,2,11-19-2025,14.28,30.21,29.64,0.28,5.28,2.28,9.00,1.08,50000000,253,500000,137,50000000,153
37,13,2,11-19-2025,14.29,29.90,29.16,0.38,5.37,2.49,8.68,1.05,50000000,299,500000,308,500000000,176
38,13,2,11-19-2025,14.28,29.68,29.08,0.43,5.45,2.53,8.92,1.02,50000000,286,500000,293,500000000,42
39,13,2,11-19-2025,14.30,30.10,29.55,0.46,5.53,2.50,9.03,0.91,50000000,189,500000,315,500000000,62
40,14,2,11-19-2025,14.28,29.84,28.45,0.36,5.32,2.40,8.74,0.97,50000000,10,5000000,54,50000000,31
