id_treatment,id_inoc,id_faeces,wet_weight_0dpi,wet_weight_14dpi,dry_weight_14dpi,ecoli_concentration_14dpi,enterococcus_concentration_14dpi,total_plate_count_concentration_14dpi,ph_14dpi,ph_0dpi,water_content_0dpi_mean,ecoli_concentration_0dpi_mean,enterococcus_concentration_0dpi_mean,total_plate_count_concentration_0dpi_mean,species,area_size_0dpi,area_size_2dpi,area_size_3dpi,area_size_6dpi,area_size_7dpi,area_size_8dpi,area_size_9dpi,area_size_10dpi,area_size_13dpi,area_size_14dpi,area_size_1dpi,area_size_5dpi,area_size_12dpi,max_contamination_area,contamination_auc,any_contamination,any_reproductive_structures,growth_description,dry_weight_0dpi,ecoli_log_change,enterococcus_log_change,total_plate_count_log_change
1,1,1,15.529999999999998,15.149999999999999,7.00159362549801,0,0,0,5.18,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,ctrl,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,FALSE,FALSE,0,6.9244368463102655,-5.648971711361942,-5.584704321115345,-7.218676110151666
2,1,1,15.809999999999999,15.48,6.952095808383233,0,0,39.603960396039604,5.27,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,ctrl,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,FALSE,FALSE,0,7.049281811987464,-5.648971711361942,-5.584704321115345,-5.610107714646824
3,1,1,15.43,14.61,6.729454545454546,0,178899.08256880732,155963302.75229356,8.53,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,ctrl,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,39.09,187.51500000000001,TRUE,FALSE,0,6.87984935856841,-5.648971711361942,-0.33209378010543933,0.9743463160705783
4,2,1,15.82,15.39,6.9423952095808374,169724.77064220182,1275229.357798165,174311926.60550457,6.18,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,P. ostreatus MG1015,0,0.94,1.04,1.51,2.31,3.79,5.4,8.37,21.12,28.24,NA,NA,NA,0,0,FALSE,FALSE,5,7.05374056076165,-0.4192239220909535,0.5208843217598522,1.0226509953520182
5,2,1,15.77,14.989999999999998,6.612355289421157,6391752577.319588,124742268.04123712,26804123711.340206,8.61,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,P. ostreatus MG1015,0,0.84,2.5,1.96,1.91,1.92,1.83,1.83,1.48,1.48,NA,NA,NA,58.73,616.5,TRUE,FALSE,4,7.031446816890721,4.156648243938013,2.5113093184163935,3.2095255035691093
6,2,1,15.380000000000003,14.8,6.3009900990099,6470588235.294118,148039215.6862745,17156862745.09804,8.72,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,P. ostreatus MG1015,0,1.15,1.123,1.96,1.96,1.96,1.96,1.96,1.96,1.96,NA,NA,NA,58.22,609.925,TRUE,FALSE,4,6.857555614697484,4.161972052485127,2.5856724573495518,3.0157617667980237
7,3,1,15.66,15.23,6.947549800796813,0,0,0,5.36,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,P. ostreatus MG1010,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,FALSE,FALSE,0,6.982400580374679,-5.648971711361942,-5.584704321115345,-7.218676110151666
8,3,1,15.68,15.29,6.886567460317459,0,0,0,6.72,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,P. ostreatus MG1010,0,0.67,0.78,1.15,1.83,2.7,4.04,6.17,18.23,23,NA,NA,NA,7.25,26.405,TRUE,FALSE,5,6.991318077923051,-5.648971711361942,-5.584704321115345,-7.218676110151666
9,3,1,15.33,14.92,6.842101010101009,99107142.85714285,4464.285714285714,1044642857.1428571,8.15,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,P. ostreatus MG1010,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,11.56,81.1,TRUE,FALSE,0,6.835261870826554,2.347133249136604,-1.9348550683795152,1.8002917293400493
10,4,1,15.679999999999998,14.78,6.707389558232933,0,0,18.018018018018015,5.91,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,G. lucidum,0,1.46,2.33,8.98,12.24,16.58,21.62,30.36,57.25,60.56,NA,NA,NA,0,0,FALSE,FALSE,4,6.99131807792305,-5.648971711361942,-5.584704321115345,-5.939510855630667
11,4,1,15.880000000000003,15.490000000000002,6.932158415841586,0,0,0,5.93,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,G. lucidum,0,1.5,2.28,9.24,12.66,17.08,22.42,31.37,59.42,60.86,NA,NA,NA,0,0,FALSE,FALSE,4,7.080493053406764,-5.648971711361942,-5.584704321115345,-7.218676110151666
12,4,1,15.84,15.48,6.719513184584178,0,0,0,5.96,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,G. lucidum,0,1.34,2.2,8.45,11.6,15.59,20.22,28.03,56.59,61.2,NA,NA,NA,0,0,FALSE,FALSE,4,7.062658058310021,-5.648971711361942,-5.584704321115345,-7.218676110151666
13,5,1,15.579999999999998,14.27,6.379529411764705,3489583333.3333335,71875000,3854166666.666667,8.93,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,S. fimicola F35,0,28.57,58.42,59.95,59.95,59.95,59.95,59.95,59.95,59.95,NA,NA,NA,0,0,FALSE,TRUE,3,6.946730590181194,3.8938018627597897,2.271873542624699,2.3672543809884434
14,5,1,16.01,15.310000000000002,6.743690476190477,6478260869.565218,69130434.7826087,6521739130.434783,8.97,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,S. fimicola F35,0,36,57.67,59.06,59.06,59.06,59.06,59.06,59.06,59.06,NA,NA,NA,0,0,FALSE,TRUE,3,7.138456787471177,4.162486721099778,2.25496497346976,2.5956873129530145
15,5,1,15.879999999999999,15.27,6.432637795275591,3750000000,119230769.23076923,8173076923.076922,9.03,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,S. fimicola F35,0,32.4,57.89,59.84,59.84,59.84,59.84,59.84,59.84,59.84,NA,NA,NA,0,0,FALSE,TRUE,3,7.080493053406762,3.925059556481588,2.491684028390579,2.693709476316984
16,6,1,15.77,14.849999999999998,6.609880239520957,4687500000,112946428.57142857,40178571428.57143,8.67,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,T. harzianum T22,0,2.38,6.95,30.49,42.02,47.47,47.47,46.01,44.55,44.55,NA,NA,NA,1.1,9.57,TRUE,TRUE,1,7.031446816890721,4.021969569466482,2.4681681855714475,3.3853183809643053
17,6,1,15.79,15.130000000000003,6.79491017964072,11326530612.244898,149489795.91836736,12448979591.836735,8.87,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,T. harzianum T22,0,2.9,7.88,31.8,44.4,50.48,50.13,49.09,49.01,48.32,NA,NA,NA,0,0,FALSE,TRUE,1,7.040364314439092,4.405125191770563,2.5899072307874667,2.8764576448654733
18,6,1,15.66,15.029999999999998,6.387749999999998,10000000000,97727272.72727272,24545454545.454544,8.84,6.38,0.5541251225814381,445626.220633504,384329.03115418943,16545354.771781035,T. harzianum T22,0,2.76,7.62,32.39,45.25,50.65,50.25,49.53,48.54,48.54,NA,NA,NA,0,0,FALSE,TRUE,2,6.982400580374679,4.351028288681488,2.405311462421997,3.171294968866789
22,8,2,15.84,14.970000000000002,6.230118343195266,9838709677.419353,126344086.02150537,15430107526.88172,8.94,6.44,0.5546022981322277,6569243.462807819,200373.40272488788,246047272.9965304,ctrl,0,0,NA,0,0,0,0,NA,0,0,0,0,0,59.51,637.015,TRUE,FALSE,0,7.055099597585513,3.175422721887558,2.7997126806701083,1.7973503947767338
23,8,2,15.890000000000002,15.410000000000002,6.743782178217821,0,0,0,5.18,6.44,0.5546022981322277,6569243.462807819,200373.40272488788,246047272.9965304,ctrl,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,FALSE,FALSE,0,7.077369482678902,-6.817515423669097,-5.301842240821106,-8.391018557767488
24,8,2,15.98,15.23,6.451392649903289,3461538461.538461,107692307.6923077,3653846153.8461537,8.97,6.44,0.5546022981322277,6569243.462807819,200373.40272488788,246047272.9965304,ctrl,0,0,NA,0,0,0,0,NA,0,0,0,0,0,59.72,624.9399999999999,TRUE,FALSE,0,7.117455275847001,2.721753737924872,2.7303424465830304,1.171731699669401
25,9,2,15.820000000000002,15.360000000000001,6.7352380952380955,69444444.44444443,2592592.5925925924,87500000,6.41,6.44,0.5546022981322277,6569243.462807819,200373.40272488788,246047272.9965304,P. ostreatus MG1015,0,1.2,NA,4.02,6,8.32,11.45,NA,22.05,28.75,1,2.74,17.02,0,0,FALSE,FALSE,5,7.046191643548158,1.0241220904894934,1.1118922025477174,-0.4490104997818092
26,9,2,15.520000000000001,15.180000000000001,6.430631364562118,132352941.1764706,37254901.960784316,1372549019.6078432,5.78,6.44,0.5546022981322277,6569243.462807819,200373.40272488788,246047272.9965304,P. ostreatus MG1015,0,0.95,NA,2.99,4.49,6.68,8.73,NA,9.53,9.53,0.81,1.92,9.53,3.29,19.625,TRUE,FALSE,5,6.912572332987827,1.3042181763453273,2.2693411956911644,0.7465093064652475
27,9,2,15.75,15.370000000000001,6.543663366336634,109090909.09090908,35909090.90909091,3454545454.5454545,6.67,6.44,0.5546022981322277,6569243.462807819,200373.40272488788,246047272.9965304,P. ostreatus MG1015,0,1.16,NA,4.77,6.61,8.25,9.71,NA,10.53,10.53,0.99,3.14,10.53,0,0,FALSE,FALSE,5,7.015013804417413,1.2202731412013348,2.253362181741406,1.147372353816813
28,10,2,15.56,14.81,6.000858283433133,11767676767.676767,133838383.83838384,4747474747.474748,8.87,6.44,0.5546022981322277,6569243.462807819,200373.40272488788,246047272.9965304,P. ostreatus MG1010,0,0,NA,0,0,0,0,NA,0,0,0,0,0,60.25,633.965,TRUE,FALSE,0,6.930388241062537,3.253175307132296,2.8247384460990883,1.2854441056621582
29,10,2,15.44,15.17,6.449520958083834,38571428.57142857,77142857.14285713,533333333.3333333,5.53,6.44,0.5546022981322277,6569243.462807819,200373.40272488788,246047272.9965304,P. ostreatus MG1010,0,0.57,NA,0.78,1.06,1.51,2.3,NA,3.27,3.27,0,0.65,3.27,0.06,0.21,TRUE,FALSE,5,6.8769405168384035,0.7687503117351193,2.585453484617349,0.33598017098307587
30,10,2,15.48,15.2,6.393650793650792,14285714.285714284,77232142.85714285,196428571.4285714,5.31,6.44,0.5546022981322277,6569243.462807819,200373.40272488788,246047272.9965304,P. ostreatus MG1010,0,0.94,NA,4.04,4.04,5.78,7.74,NA,8.96,8.99,0.82,1.89,8.9,0,0,FALSE,FALSE,5,6.8947564249131155,0.3373865667172584,2.585955849596761,-0.09781389740451019
31,11,2,15.549999999999999,14.790000000000001,6.414939759036146,12228260869.565216,148913043.47826087,15706521739.130434,8.75,6.44,0.5546022981322277,6569243.462807819,200373.40272488788,246047272.9965304,G. lucidum,0,1.02,NA,4.14,4.27,4.57,3.88,NA,3.71,3.61,0,3.52,3.74,57.23,527.225,TRUE,FALSE,4,6.925934264043859,3.269849271468245,2.871090501906176,1.805061462007174
32,11,2,15.71,15.23,6.383832335329341,0,0,0,5.89,6.44,0.5546022981322277,6569243.462807819,200373.40272488788,246047272.9965304,G. lucidum,0,0.78,NA,4.63,6.73,9.52,13.54,NA,39.54,49.4,0,2.98,31.75,0,0,FALSE,FALSE,5,6.997197896342703,-6.817515423669097,-5.301842240821106,-8.391018557767488
33,11,2,15.68,15.21,6.423346613545816,0,0,0,5.94,6.44,0.5546022981322277,6569243.462807819,200373.40272488788,246047272.9965304,G. lucidum,0,1.27,NA,8.26,10.79,13.461,17.57,NA,36.3,40.33,0,5.85,31.01,8.24,49.43,TRUE,FALSE,4,6.983835965286669,-6.817515423669097,-5.301842240821106,-8.391018557767488
34,12,2,15.570000000000002,14.72,6.197894736842105,117788461538.46153,16346153.846153846,375000000000,8.96,6.44,0.5546022981322277,6569243.462807819,200373.40272488788,246047272.9965304,S. fimicola F35,0,32.09,NA,60.24,60.24,60.24,60.24,NA,60.24,60.24,5.01,59.41,60.24,0,0,FALSE,TRUE,3,6.934842218081215,4.253587325736361,1.9115733678269908,3.183012709961389
35,12,2,15.530000000000001,14.850000000000001,5.9697,7027027027.027026,110360360.36036035,6756756756.756756,8.93,6.44,0.5546022981322277,6569243.462807819,200373.40272488788,246047272.9965304,S. fimicola F35,0,44.31,NA,60,60,60,60,NA,60,60,7.26,60,60,0,0,FALSE,TRUE,3,6.917026310006504,3.029256200296529,2.7409708730280276,1.4387197269018301
36,12,2,15.930000000000001,15.360000000000001,6.144000000000001,11712962962.962963,63425925.925925925,7083333333.333333,9,6.44,0.5546022981322277,6569243.462807819,200373.40272488788,246047272.9965304,S. fimicola F35,0,29.43,NA,59.95,59.95,59.95,59.95,NA,59.95,59.95,5.45,59.95,59.95,0,0,FALSE,TRUE,3,7.095185390753613,3.2511513463928674,2.5004245820316404,1.4592191219604924
37,13,2,15.61,14.870000000000001,6.287715430861725,14238095238.095238,146666666.66666666,83809523809.5238,8.68,6.44,0.5546022981322277,6569243.462807819,200373.40272488788,246047272.9965304,T. harzianum T22,0,2.5,NA,34.06,46.11,49.74,47.64,NA,47.23,47.23,1.41,23.82,47.23,0,0,FALSE,TRUE,2,6.952658126155925,3.335936469951915,2.8644891839065174,2.5322748153179244
38,13,2,15.4,14.799999999999999,6.191235059760953,14019607843.137255,143627450.98039216,20588235294.117645,8.92,6.44,0.5546022981322277,6569243.462807819,200373.40272488788,246047272.9965304,T. harzianum T22,0,1.99,NA,35.53,45.6,48.63,46.25,NA,45.73,45.73,1.33,22.22,45.73,0,0,FALSE,TRUE,2,6.859124608763693,3.329220442065025,2.855395215130862,1.9226005652256077
