id_treatment,date,dpi,area_size,nr_contaminations,total_contamination_area,reproductive_structures,growth_description
1,2025-11-20,2,0,0,0,0,0
1,2025-11-21,3,0,0,0,0,0
1,2025-11-24,6,0,0,0,0,0
1,2025-11-25,7,0,0,0,0,0
1,2025-11-26,8,0,0,0,0,0
1,2025-11-27,9,0,0,0,0,0
1,2025-11-28,10,0,0,0,0,0
1,2025-12-01,13,0,0,0,0,0
1,2025-12-02,14,0,0,0,0,0
2,2025-11-20,2,0,0,0,0,0
2,2025-11-21,3,0,0,0,0,0
2,2025-11-24,6,0,0,0,0,0
2,2025-11-25,7,0,0,0,0,0
2,2025-11-26,8,0,0,0,0,0
2,2025-11-27,9,0,0,0,0,0
2,2025-11-28,10,0,0,0,0,0
2,2025-12-01,13,0,0,0,0,0
2,2025-12-02,14,0,0,0,0,0
3,2025-11-20,2,0,0,0,0,0
3,2025-11-21,3,0,0,0,0,0
3,2025-11-24,6,0,1,5.43,0,0
3,2025-11-25,7,0,1,8.43,0,0
3,2025-11-26,8,0,1,11.34,0,0
3,2025-11-27,9,0,1,16.06,0,0
3,2025-11-28,10,0,1,22.07,0,0
3,2025-12-01,13,0,1,38.57,0,0
3,2025-12-02,14,0,1,39.09,0,0
4,2025-11-20,2,0.94,0,0,0,5
4,2025-11-21,3,1.04,0,0,0,5
4,2025-11-24,6,1.51,0,0,0,5
4,2025-11-25,7,2.31,0,0,0,5
4,2025-11-26,8,3.79,0,0,0,5
4,2025-11-27,9,5.4,0,0,0,5
4,2025-11-28,10,8.37,0,0,0,5
4,2025-12-01,13,21.12,0,0,0,5
4,2025-12-02,14,28.24,0,0,0,5
5,2025-11-20,2,0.84,1,3.75,0,5
5,2025-11-21,3,2.5,1,27.91,0,5
5,2025-11-24,6,1.96,1,58.25,0,5
5,2025-11-25,7,1.91,1,58.3,0,4
5,2025-11-26,8,1.92,1,58.29,0,4
5,2025-11-27,9,1.83,0,58.38,0,4
5,2025-11-28,10,1.83,1,58.38,0,4
5,2025-12-01,13,1.48,1,58.73,0,4
5,2025-12-02,14,1.48,1,58.73,0,4
6,2025-11-20,2,1.15,1,3.37,0,5
6,2025-11-21,3,1.123,1,25.89,0,5
